"Name","Source","Level","Casting Time","Duration","School","Range","Components","Classes","Optional/Variant Classes","Text","At Higher Levels"
"Awaken","PHB","5th","8 Hr.","Instantaneous","Transmutation","Touch","V, S, M (an agate worth at least 1,000 gp, which the spell consumes)","Bard, Druid, Tamer","","After spending the casting time tracing magical pathways within a precious gemstone, you touch a Huge or smaller beast or plant. The target must have either no Intelligence score or an Intelligence of 3 or less. The target gains an Intelligence of 10. The target also gains the ability to speak one language you know. If the target is a plant, it gains the ability to move its limbs, roots, vines, creepers, and so forth, and it gains senses similar to a human's. Your DM chooses statistics appropriate for the awakened plant, such as the statistics for the awakened shrub or the awakened tree.The awakened beast or plant is charmed by you for 30 days or until you or your companions do anything harmful to it. When the charmed condition ends, the awakened creature chooses whether to remain friendly to you, based on how you treated it while it was charmed.",""
"Awaken Object","DMS","8th","8 Hr.","Permanent","Transmutation","Touch","V, S, M (a ruby worth at least 1,000 gp, which the spell consumes)","Druid","","After spending the casting time enchanting a ruby along with a Large or smaller nonmagical object in humanoid form, you touch the ruby to the object. The ruby dissolves into the object, which becomes a living construct imbued with sentience. If the object has no face, a humanoid face appears on it in an appropriate location. The awakened object's statistics are determined by its size, as shown on the table below. An awakened object can use an action to make a melee weapon attack against a target within 5 feet of it. It has free will, acts independently, and speaks one language you know. It is initially friendly to anyone who assisted in its creation.An awakened object's speed is 30 feet. If it has no apparent legs or other means of moving, it gains a flying speed of 30 feet and it can hover. Its sight and hearing are equivalent to a typical human's senses. Intelligence, Wisdom, and Charisma can be adjusted up or down by the GM to fit unusual circumstances. A beautiful statue might awaken with increased Charisma, for example, or the bust of a great philosopher could have surprisingly high Wisdom.An awakened object needs no air, food, water, or sleep. Damage to an awakened object can be healed or mechanically repaired.Awakened Creature StatisticsSizeHPACAttackStrDexConIntWisChaTiny2018+8 to hit, 1d4 + 4 damage418102d62d62d6Small2516+6 to hit, 1d8 + 2 damage614103d62d62d6Medium4013+5 to hit, 2d6 + 1 damage1012103d63d62d6Large5010+6 to hit, 2d10 + 2 damage1410103d63d62d6 + 2",""
"Babble","DMS","5th","Action","Concentration, up to 1 hour","Enchantment (Chaos)","60 feet","V, S","Bard, Sorcerer, Wizard","","This spell causes the speech of affected creatures to sound like nonsense. Each creature in a 30-foot-radius sphere centered on a point you choose within range must succeed on an Intelligence saving throw when you cast this spell or be affected by it.An affected creature cannot communicate in any spoken language that it knows. When it speaks, the words come out as gibberish. Spells with verbal components cannot be cast. The spell does not affect telepathic communication, nonverbal communication, or sounds emitted by any creature that does not have a spoken language. As an action, a creature under the effect of this spell can attempt another Intelligence saving throw against the effect. On a successful save, the spell ends.",""
"Babble","ToH","5th","Action","Concentration, up to 1 hour","Enchantment (Chaos)","60 feet","V, S","Bard, Sorcerer, Wizard","","This spell causes the speech of affected creatures to sound like nonsense. Each creature in a 30-foot-radius sphere centered on a point you choose within range must succeed on an Intelligence saving throw when you cast this spell or be affected by it.An affected creature cannot communicate in any spoken language that it knows. When it speaks, the words come out as gibberish. Spells with verbal components cannot be cast. The spell does not affect telepathic communication, nonverbal communication, or sounds emitted by any creature that does not have a spoken language. As an action, a creature under the effect of this spell can attempt another Intelligence saving throw against the effect. On a successful save, the spell ends.",""
"Bad Timing","DMS","2nd","Action","Instantaneous","Divination (Chaos)","60 feet","V","Bard, Sorcerer, Wizard","","You point toward a creature that you can see and twist strands of chaotic energy around its fate. If the target gets a failure on a Charisma saving throw, the next attack roll or ability check the creature attempts within 10 minutes is made with disadvantage.",""
"Bane","PHB","1st","Action","Concentration, up to 1 minute","Enchantment","30 feet","V, S, M (a drop of blood)","Bard, Cleric, Necromancer, Witch","","Up to three creatures of your choice that you can see within range must make Charisma saving throws. Whenever a target that fails this saving throw makes an attack roll or a saving throw before the spell ends, the target must roll a d4 and subtract the number rolled from the attack roll or saving throw."," At Higher Levels. When you cast this spell using a spell slot of 2nd level or higher, you can target one additional creature for each slot level above 1st."
"Banishing Smite","PHB","5th","Bonus","Concentration, up to 1 minute","Abjuration","Self","V","Paladin","","The next time you hit a creature with a weapon attack before this spell ends, your weapon crackles with force, and the attack deals an extra 5d10 force damage to the target. Additionally, if this attack reduces the target to 50 hit points or fewer, you banish it. If the target is native to a different plane of existence than the one you're on, the target disappears, returning to its home plane. If the target is native to the plane you're on, the creature vanishes into a harmless demiplane. While there, the target is incapacitated. It remains there until the spell ends, at which point the target reappears in the space it left or in the nearest unoccupied space if that space is occupied.",""
"Banishment","PHB","4th","Action","Concentration, up to 1 minute","Abjuration","60 feet","V, S, M (an item distasteful to the target)","Cleric, Martyr, Paladin, Sorcerer, Warlock, Witch, Wizard","","You attempt to send one creature that you can see within range to another plane of existence. The target must succeed on a Charisma saving throw or be banished.If the target is native to the plane of existence you're on, you banish the target to a harmless demiplane. While there, the target is incapacitated. The target remains there until the spell ends, at which point the target reappears in the space it left or in the nearest unoccupied space if that space is occupied.If the target is native to a different plane of existence than the one you're on, the target is banished with a faint popping noise, returning to its home plane. If the spell ends before 1 minute has passed, the target reappears in the space it left or in the nearest unoccupied space if that space is occupied. Otherwise, the target doesn't return."," At Higher Levels. When you cast this spell using a spell slot of 5th level or higher, you can target one additional creature for each slot level above 4th."
"Bardo","ToH","3rd","Reaction","Instantaneous","Necromancy (Liminal)","60 feet","V, S, M (a pinch of dirt from a graveyard)","Cleric, Paladin, Sorcerer, Wizard","","You capture some of the fading life essence of the triggering creature, drawing on the energy of the tenuous moment between life and death. You can then use this essence to immediately harm or help a different creature you can see within range. If you choose to harm, the target must make a Wisdom saving throw. The target takes psychic damage equal to 6d8 + your spellcasting ability modifier on a failed save, or half as much damage on a successful one. If you choose to help, the target regains hit points equal to 3d8 + your spellcasting ability modifier. This spell can't be triggered by the death of a construct or an undead creature, and it can't restore hit points to constructs or undead.",""
"Barkskin","PHB","2nd","Action","Concentration, up to 1 hour","Transmutation","Touch","V, S, M (a handful of oak bark)","Druid, Ranger, Tamer","","You touch a willing creature. Until the spell ends, the target's skin has a rough, bark-like appearance, and the target's AC can't be less than 16, regardless of what kind of armor it is wearing.",""
"Batsense","DMS","2nd","Action","1 hour","Transmutation","Touch","V, S, M (a bit of fur from a bat's ear)","Bard, Druid, Ranger, Sorcerer","","For the duration of the spell, a creature you touch can produce and interpret squeaking sounds used for echolocation, giving it blindsight out to a range of 60 feet. The target cannot use its blindsight while deafened, and its blindsight doesn't penetrate areas of magical silence. While using blindsight, the target has disadvantage on Dexterity (Stealth) checks that rely on being silent. Additionally, the target has advantage on Wisdom (Perception) checks that rely on hearing.",""
"Battle Mind","DMS","5th","Action","Concentration, up to 10 minutes","Divination (ritual)","Self","V, S, M (a bit of spiderweb or a small crystal orb)","Bard, Paladin, Sorcerer, Wizard","","You gain a preternatural sense of the surrounding area, allowing you insights you can share with comrades to provide them with an edge in combat. You gain advantage on Wisdom (Perception) checks made when determining surprise at the beginning of a combat encounter. If you are not surprised, then neither are your allies. When you are engaged in combat while the spell is active, you can use a bonus action on your turn to produce one of the following effects (allies must be able to see or hear you in order to benefit):One ally gains advantage on its next attack roll, saving throw, or ability check.An enemy has disadvantage on the next attack roll it makes against you or an ally.You divine the location of an invisible or hidden creature and impart that knowledge to any allies who can see or hear you. This knowledge does not negate any advantages the creature has, it only allows your allies to be aware of its location at the time. If the creature moves after being detected, its new location is not imparted to your allies.Three allies who can see and hear you on your turn are given the benefit of a bless, guidance, or resistance spell on their turns; you choose the benefit individually for each ally. An ally must use the benefit on its turn, or the benefit is lost.",""
"Battle Mind","ToH","5th","Action","Concentration, up to 10 minutes","Divination (ritual)","Self","V, S, M (a bit of spiderweb or a small crystal orb)","Bard, Druid, Ranger, Wizard","","You gain a preternatural sense of the surrounding area, allowing you insights you can share with comrades to provide them with an edge in combat. You gain advantage on Wisdom (Perception) checks made when determining surprise at the beginning of a combat encounter. If you are not surprised, then neither are your allies. When you are engaged in combat while the spell is active, you can use a bonus action on your turn to produce one of the following effects (allies must be able to see or hear you in order to benefit):One ally gains advantage on its next attack roll, saving throw, or ability check.An enemy has disadvantage on the next attack roll it makes against you or an ally.You divine the location of an invisible or hidden creature and impart that knowledge to any allies who can see or hear you. This knowledge does not negate any advantages the creature has, it only allows your allies to be aware of its location at the time. If the creature moves after being detected, its new location is not imparted to your allies.Three allies who can see and hear you on your turn are given the benefit of a bless, guidance, or resistance spell on their turns; you choose the benefit individually for each ally. An ally must use the benefit on its turn, or the benefit is lost.",""
"Beacon of Hope","PHB","3rd","Action","Concentration, up to 1 minute","Abjuration","30 feet","V, S","Cleric","","This spell bestows hope and vitality. Choose any number of creatures within range. For the duration, each target has advantage on Wisdom saving throws and death saving throws, and regains the maximum number of hit points possible from any healing.",""
"Beast Bond","XGE","1st","Action","Concentration, up to 10 minutes","Divination","Touch","V, S, M (a bit of fur wrapped in a cloth)","Druid, Ranger","","You establish a telepathic link with one beast you touch that is friendly to you or charmed by you. The spell fails if the beast's Intelligence score is 4 or higher. Until the spell ends, the link is active while you and the beast are within line of sight of each other. Through the link, the beast can understand your telepathic messages to it, and it can telepathically communicate simple emotions and concepts back to you. While the link is active, the beast gains advantage on attack rolls against any creature within 5 feet of you that you can see.",""
"Beast Sense","PHB","2nd","Action","Concentration, up to 1 hour","Divination (ritual)","Touch","S","Druid, Ranger","","You touch a willing beast. For the duration of the spell, you can use your action to see through the beast's eyes and hear what it hears, and continue to do so until you use your action to return to your normal senses. While perceiving through the beast's senses, you gain the benefits of any special senses possessed by that creature, though you are blinded and deafened to your own surroundings.",""
"Beast Within","ToH","4th","Round","Concentration, up to 1 hour","Transmutation","30 feet","V, S, M (fang from a lycanthrope)","Druid, Ranger, Warlock","","You imbue a willing creature with a touch of lycanthropy. The target gains a few bestial qualities appropriate to the type of lycanthrope you choose, such as tufts of fur, elongated claws, a fang-lined maw or tusks, and similar features. For the duration, the target has resistance to bludgeoning, piercing, and slashing damage from nonmagical attacks that aren't silvered. In addition, the target has advantage on Wisdom (Perception) checks that rely on hearing or smell. Finally, the creature can use its new claws and jaw or tusks to make unarmed strikes. The claws deal slashing damage equal to 1d4 + the target's Strength modifier on a hit. The bite deals piercing damage equal to 1d6 + the target's Strength modifier on a hit. The target's bite doesn't inflict lycanthropy."," At Higher Levels. When you cast this spell using a spell slot of 5th level or higher, you can target one additional creature for each spell slot above 4th."
"Become Nightwing","DMS","6th","Action","Concentration, up to 1 minute","Enchantment (Shadow)","Self","V, S, M (a crow's eye)","Sorcerer, Warlock, Wizard","","This spell imbues you with wings of shadow. For the duration of the spell, you gain a flying speed of 60 feet and a new attack action:Nightwing Breath (Recharge 4–6). You exhale shadow‑substance in a 30-foot cone. Each creature in the area takes 5d6 necrotic damage, or half the damage with a successful Dexterity saving throw.",""
"Bedazzling Charm","DMS","2nd","Action","1 minute","Enchantment","30 feet","V, S","Sorcerer, Warlock, Wizard","","You attempt to charm a humanoid you can see within range. It makes a Wisdom saving throw, with advantage if you or your companions are fighting it or threatening it. If the saving throw fails, the humanoid is charmed by a third humanoid you designate that both of you can see.The spell ends after 1 minute, when you or any of your companions do anything harmful to either of the spell's targets, or when the third humanoid disappears from the charmed creature's sight. The charmed creature regards the third creature as a friendly acquaintance and will follow it to keep it within sight. When the spell ends, the creature knows it was bedazzled by you to regard the third creature favorably.",""
"Beguiling Bet","DMS","2nd","Action","1 minute","Enchantment","30 feet","V, S","Bard","","You issue a challenge against one creature you can see within range, which must make a successful Wisdom saving throw or become charmed. On a failed save, you can make an ability check as a bonus action. For example, you could make a Strength (Athletics) check to climb a difficult surface or to jump as high as possible; you could make a Dexterity (Acrobatics) check to perform a backflip; or you could make a Charisma (Performance) check to sing a high note or to extemporize a clever rhyme. You can choose to use your spellcasting ability modifier in place of the usual ability modifier for this check, and you add your proficiency bonus if you're proficient in the skill being used.The charmed creature must use its next action (which can be a legendary action) to make the same ability check in a contest against your check. Even if the creature can't perform the action—it may not be close enough to a wall to climb it, or it might not have appendages suitable for strumming a lute—it must still attempt the action to the best of its capability. If you win the contest, the spell (and the contest) continues, with you making a new ability check as a bonus action on your turn. The spell ends when it expires or when the creature wins the contest."," At Higher Levels. When you cast this spell using a spell slot of 4th level or higher, you can target one additional creature for every two slot levels above 2nd. Each creature must be within 30 feet of another creature when you cast the spell."
"Benediction","DMS","Cantrip","Action","Concentration, up to 1 minute","Abjuration (Angelic)","60 feet","V, S","Cleric, Paladin, Wizard","","You call down a blessing in the name of an angel of protection. A creature you can see within range shimmers with a faint white light. The next time the creature takes damage, it rolls a d4 and reduces the damage by the result. The spell then ends.",""
"Benign Dismemberment","VSS","3rd","1 Min.","1 hour","Necromancy (ritual)","Touch","V, S","Investigator, Necromancer, Witch, Wizard","","For the duration, a willing target's body parts (fingers, legs, tail, and even its head) can be harmlessly severed from its body. It takes no damage from such dismemberment, as long as the cut removing the body part is swift and leaves a clean cut. The target's head remains alive and conscious, and parts connected to it also remain alive. All severed body parts become inanimate, but do not begin decomposition for the spell's duration. Any of the target's severed body parts that are removed during this spell's duration can be held back to the stump, which instantly causes the part to knit to the stump, restoring the body part. At the end of the duration, severed body parts become permanent, and the target dies if vital organs have not been reattached to its head. ",""
"Bestial Fury","DMS","2nd","Action","Concentration, up to 1 minute","Enchantment","30 feet","V, S","Ranger","","You instill primal fury into a creature you can see within range. The target must make a Charisma saving throw; a creature can choose to fail this saving throw. On a failure, the target must use its action to attack its nearest enemy it can see with unarmed strikes or natural weapons. For the duration, the target's attacks deal an extra 1d6 damage of the same type dealt by its weapon, and the target can't be charmed or frightened. If there are no enemies within reach, the target can use its action to repeat the saving throw, ending the effect on a success.This spell has no effect on undead or constructs."," At Higher Levels. When you cast this spell using a spell slot of 3rd level or higher, you can target one additional creature for each slot level above 2nd."
"Bestow Curse","PHB","3rd","Action","Concentration, up to 1 minute","Necromancy","Touch","V, S","Bard, Cleric, Necromancer, Witch, Wizard","","You touch a creature, and that creature must succeed on a Wisdom saving throw or become cursed for the duration of the spell. When you cast this spell, choose the nature of the curse from the following options:Choose one ability score. While cursed, the target has disadvantage on ability checks and saving throws made with that ability score.While cursed, the target has disadvantage on attack rolls against you.While cursed, the target must make a Wisdom saving throw at the start of each of its turns. If it fails, it wastes its action that turn doing nothing.While the target is cursed, your attacks and spells deal an extra 1d8 necrotic damage to the target.A remove curse spell ends this effect. At the DM's option, you may choose an alternative curse effect, but it should be no more powerful than those described above. The DM has final say on such a curse's effect."," At Higher Levels. If you cast this spell using a spell slot of 4th level or higher, the duration is concentration, up to 10 minutes. If you use a spell slot of 5th level or higher, the duration is 8 hours. If you use a spell slot of 7th level or higher, the duration is 24 hours. If you use a 9th level spell slot, the spell lasts until it is dispelled. Using a spell slot of 5th level or higher grants a duration that doesn't require concentration."
"Betraying Bauble","ToH","2nd","Action","24 hours","Divination","Touch","V, S","Sorcerer, Warlock, Wizard","","When you cast this spell, you touch a pair of objects. Each object must be small enough to fit in one hand. While holding one of the objects, you can sense the direction to the other object's location. If the paired object is in motion, you know the direction and relative speed of its movement (walking, running, galloping, or similar). When the two objects are within 30 feet of each other, they vibrate faintly unless they are touching. If you aren't holding either item and the spell hasn't ended, you can sense the direction of the closest of the two objects within 1,000 feet of you, and you can sense if it is in motion. If neither object is within 1,000 feet of you, you sense the closest object as soon as you come within 1,000 feet of one of them.If an inch or more of lead blocks a direct path between you and an affected object, you can't sense that object.",""
"Bewilderment","DMS","Cantrip","Action","1 minute","Enchantment","30 feet","V, S","Bard, Cleric, Druid, Sorcerer, Wizard","","You temporarily inhibit the cognitive ability of a creature within range. If the target makes a successful Wisdom saving throw, the spell is ineffective. On a failed save, the next time the creature makes an Intelligence check before the spell ends, roll a d6 and subtract the result from the roll. The spell then ends.",""
"Bigby's Hand","PHB","5th","Action","Concentration, up to 1 minute","Evocation","120 feet","V, S, M (an eggshell and a snakeskin glove)","Artificer, Wizard","Sorcerer","You create a Large hand of shimmering, translucent force in an unoccupied space that you can see within range. The hand lasts for the spell's duration, and it moves at your command, mimicking the movements of your own hand.The hand is an object that has AC 20 and hit points equal to your hit point maximum. If it drops to 0 hit points, the spell ends. It has a Strength of 26 (+8) and a Dexterity of 10 (+0). The hand doesn't fill its space.When you cast the spell and as a bonus action on your subsequent turns, you can move the hand up to 60 feet and then cause one of the following effects with it. Clenched Fist. The hand strikes one creature or object within 5 feet of it. Make a melee spell attack for the hand using your game statistics. On a hit, the target takes 4d8 force damage. Forceful Hand. The hand attempts to push a creature within 5 feet of it in a direction you choose. Make a check with the hand's Strength contested by the Strength (Athletics) check of the target. If the target is Medium or smaller, you have advantage on the check. If you succeed, the hand pushes the target up to 5 feet plus a number of feet equal to five times your spellcasting ability modifier. The hand moves with the target to remain within 5 feet of it. Grasping Hand. The hand attempts to grapple a Huge or smaller creature within 5 feet of it. You use the hand's Strength score to resolve the grapple. If the target is Medium or smaller, you have advantage on the check. While the hand is grappling the target, you can use a bonus action to have the hand crush it. When you do so, the target takes bludgeoning damage equal to 2d6 + your spellcasting ability modifier. Interposing Hand. The hand interposes itself between you and a creature you choose until you give the hand a different command. The hand moves to stay between you and the target, providing you with half cover against the target. The target can't move through the hand's space if its Strength score is less than or equal to the hand's Strength score. If its Strength score is higher than the hand's Strength score, the target can move toward you through the hand's space, but that space is difficult terrain for the target."," At Higher Levels. When you cast this spell using a spell slot of 6th level or higher, the damage from the clenched fist option increases by 2d8 and the damage from the grasping hand increases by 2d6 for each slot level above 5th."
"Binding Oath","DMS","4th","10 Min.","Special","Necromancy","30 feet","V, S","Bard, Cleric, Paladin","","You seal an agreement between two or more willing creatures with an oath in the name of the god of justice, using ceremonial blessings during which both the oath and the consequences of breaking it are set: if any of the sworn break this vow, they are struck by a curse. For each individual that does so, you choose one of the options given in the bestow curse spell. When the oath is broken, all participants are immediately aware that this has occurred, but they know no other details.The curse effect of binding oath can't be dismissed by dispel magic, but it can be removed with dispel evil and good, remove curse, or wish. Remove curse functions only if the spell slot used to cast it is equal to or higher than the spell slot used to cast binding oath. Depending on the nature of the oath, one creature's breaking it may or may not invalidate the oath for the other targets. If the oath is completely broken, the spell ends for every affected creature, but curse effects already bestowed remain until dispelled.",""
"Biting Arrow","DMS","Cantrip","Action","1 round","Evocation (Winter)","Self","V, M (an arrow or a thrown weapon)","Druid, Sorcerer, Wizard","","As part of the action used to cast this spell, you make a ranged weapon attack with a bow, a crossbow, or a thrown weapon. The effect is limited to a range of 120 feet despite the weapon's range, and the attack is made with disadvantage if the target is in the weapon's long range, as per usual.If the weapon attack hits, it deals damage as usual. In addition, the target becomes coated in thin frost until the start of your next turn. If the target uses its reaction before the start of your next turn, it immediately takes 1d6 cold damage and the spell ends.The spell's damage, for both the ranged attack and the cold damage, increases by 1d6 when you reach 5th level ( + 1d6 and 2d6), 11th level ( + 2d6 and 3d6), and 17th level ( + 3d6 and 4d6).",""
"Bitter Chains","DMS","2nd","Action","1 minute","Transmutation (Ring)","Touch","V, S, M (a spiked metal ring)","Sorcerer, Warlock, Wizard","","The spiked ring in your hand expands into a long, barbed chain to ensnare a creature you touch. Make a melee spell attack against the target. On a hit, the target is bound in metal chains for the duration. While bound, the target can move only at half speed and has disadvantage on attack rolls, saving throws, and Dexterity checks. If it moves more than 5 feet during a turn, it takes 3d6 piercing damage from the barbs.The creature can escape from the chains by using an action and making a successful Strength or Dexterity check against your spell save DC, or if the chains are destroyed. The chains have AC 18 and 20 hit points.",""
"Black Goat's Blessing","DMS","Cantrip","Action","Concentration, up to 1 minute","Enchantment (Mythos)","30 feet","V, S","Wizard","","You raise your hand with fingers splayed and utter an incantation of the Black Goat with a Thousand Young. Your magic is blessed with the eldritch virility of the All-Mother. The target has disadvantage on saving throws against spells you cast until the end of your next turn.",""
"Black Hand","DMS","4th","Action","Concentration, up to 1 minute","Necromancy (Shadow)","30 feet","V, S","Warlock, Wizard","","You gather the powers of darkness into your fist and fling dark, paralyzing flame at a target within 30 feet. If you make a successful ranged spell attack, this spell siphons vitality from the target into you. For the duration, the target has disadvantage (and you have advantage) on attack rolls, ability checks, and saving throws made with Strength, Dexterity, or Constitution. An affected target makes a Constitution saving throw (with disadvantage) at the end of its turn, ending the effect on a success.",""
"Black Hole","DMS","9th","Action","Concentration, up to 1 minute","Conjuration (Apocalypse)","120 feet","V, S","Sorcerer, Wizard","","You create a tiny black hole at a point you can see within range. The black hole is a sphere with a 15-foot radius. All fires and flames within 40 feet of the black hole—magical or otherwise—are instantly extinguished. Each creature within 40 feet of the black hole when it appears must make a Strength saving throw. On a failed save, the creature takes 20d6 force damage and is pulled to within 5 feet of the black hole. On a successful save, the creature takes half as much damage and is knocked prone but isn't pulled toward the black hole. A creature that's within 5 feet of the black hole at the start of its turn must make a successful Strength saving throw or take 8d6 force damage and have its speed reduced to 0 until the start of its next turn. A creature that's within 40 feet of the black hole (but not within 5 feet of it) at the end of its turn takes 2d6 cold damage. A creature reduced to 0 hit points while within 5 feet of the black hole dies immediately.",""
"Black Ribbons","DMS","1st","Action","Concentration, up to 1 minute","Conjuration (Shadow)","40 feet","V, S, M (a piece of ribbon)","Sorcerer, Warlock, Wizard","","You pull pieces of the plane of shadow into your own reality, causing a 20-foot cube to fill with inky ribbons that turn the area into difficult terrain and wrap around nearby creatures. Any creature that ends its turn in the area becomes restrained by the ribbons until the end of its next turn, unless it makes a successful Dexterity saving throw.Once a creature succeeds on this saving throw, it can't be restrained again by the ribbons, but it's still affected by the difficult terrain.",""
"Black Sunshine","DMS","8th","Action","Concentration, up to 1 minute","Illusion","Self (60-foot radius)","V, M (a discolored pearl, which the spell consumes)","Sorcerer, Wizard","","You hold up a flawed pearl and it disappears, leaving behind a magic orb in your hand that pulses with dim purple light. Allies that you designate become invisible if they're within 60 feet of you and if light from the orb can reach the space they occupy. An invisible creature still casts a faint, purple shadow.The orb can be used as a thrown weapon to attack an enemy. On a hit, the orb explodes in a flash of light and the spell ends. The targeted enemy and each creature within 10 feet of it must make a successful Dexterity saving throw or be blinded for 1 minute. A creature blinded in this way repeats the saving throw at the end of each of its turns, ending the effect on itself on a success.",""
"Black Swan Storm","DMS","2nd","Action","Concentration, up to 1 minute","Evocation","30 feet","V, S, M (a feather from a black swan)","Sorcerer, Warlock, Wizard","","You call forth a whirlwind of black feathers that fills a 5-foot cube within range. The feathers deal 2d8 force damage to creatures in the cube's area and radiate darkness, causing the illumination level within 20 feet of the cube to drop by one step (from bright light to dim light, and from dim light to darkness). Creatures that make a successful Dexterity saving throw take half the damage and are still affected by the change in light."," At Higher Levels. When you cast this spell using a spell slot of 3rd level or higher, the feathers deal an extra 1d8 force damage for each slot level above 2nd."
"Black Well","DMS","6th","Action","Concentration, up to 1 minute","Necromancy (Shadow)","300 feet","V, S","Wizard","","You summon a seething sphere of dark energy 5 feet in diameter at a point within range. The sphere pulls creatures toward it and devours the life force of those it envelops. Every creature other than you that starts its turn within 90 feet of the black well must make a successful Strength saving throw or be pulled 50 feet toward the well. A creature pulled into the well takes 6d8 necrotic damage and is stunned; a successful Constitution saving throw halves the damage and causes the creature to become incapacitated instead. A creature that starts its turn inside the well also makes a Constitution saving throw; the creature is stunned on a failed save or incapacitated on a success. An incapacitated creature that leaves the well recovers immediately and can take actions and reactions on that turn. A creature takes damage only upon entering the well—it takes no additional damage for remaining there—but if it leaves the well and is pulled back in again, it takes damage again. A total of nine Medium creatures, three Large creatures, or one Huge creature can be inside the well's otherdimensional space at one time. When the spell's duration ends, all creatures inside it tumble out in a heap, landing prone."," At Higher Levels. When you cast this spell using a spell slot of 7th level or higher, the damage dealt by the well increases by 1d8—and the well pulls creatures an additional 5 feet—for each slot level above 6th."
"Blade Barrier","PHB","6th","Action","Concentration, up to 10 minutes","Evocation","90 feet","V, S","Cleric","","You create a vertical wall of whirling, razor-sharp blades made of magical energy. The wall appears within range and lasts for the duration. You can make a straight wall up to 100 feet long, 20 feet high, and 5 feet thick, or a ringed wall up to 60 feet in diameter, 20 feet high, and 5 feet thick. The wall provides three-quarters cover to creatures behind it, and its space is difficult terrain.When a creature enters the wall's area for the first time on a turn or starts its turn there, the creature must make a Dexterity saving throw. On a failed save, the creature takes 6d10 slashing damage. On a successful save, the creature takes half as much damage.",""
"Blade Ward","PHB","Cantrip","Action","1 round","Abjuration","Self","V, S","Bard, Sorcerer, Warlock, Wizard","","You extend your hand and trace a sigil of warding in the air. Until the end of your next turn, you have resistance against bludgeoning, piercing, and slashing damage dealt by weapon attacks.",""
"Blade of Disaster","TCE","9th","Bonus","Concentration, up to 1 minute","Conjuration","60 feet","V, S","","Sorcerer, Warlock, Wizard","You create a blade-shaped planar rift about 3 feet long in an unoccupied space you can see within range. The blade lasts for the duration. When you cast this spell, you can make up to two melee spell attacks with the blade, each one against a creature, loose object, or structure within 5 feet of the blade. On a hit, the target takes 4d12 force damage. This attack scores a critical hit if the number on the d20 is 18 or higher. On a critical hit, the blade deals an extra 8d12 force damage (for a total of 12d12 force damage).As a bonus action on your turn, you can move the blade up to 30 feet to an unoccupied space you can see and then make up to two melee spell attacks with it again.The blade can harmlessly pass through any barrier, including a wall of force.",""
"Blade of My Brother","DMS","4th","Action","Concentration, up to 4 rounds","Transmutation","Touch","V, S, M (melee weapon owned by a dead ally of the target)","Cleric, Paladin","","You touch a melee weapon that was used by an ally who is now dead, and it leaps into the air and flies to another ally (chosen by you) within 15 feet of you. The weapon enters that ally's space and moves when the ally moves. If the weapon or the ally is forced to move more than 5 feet from the other, the spell ends.The weapon acts on your turn by making an attack if a target presents itself. Its attack modifier equals your spellcasting level + the weapon's inherent magical bonus, if any; it receives only its own inherent magical bonus to damage. The weapon fights for up to 4 rounds or until your concentration is broken, after which the spell ends and it falls to the ground.",""
"Blade of Wrath","DMS","3rd","Bonus","Concentration, up to 10 minutes","Evocation (Angelic)","Self","V, S, M (a rebuke of evil, written in Celestial)","Cleric, Paladin, Wizard","","You create a sword of pure white fire in your free hand. The blade is similar in size and shape to a longsword, and it lasts for the duration. The blade disappears if you let go of it, but you can call it forth again as a bonus action.You can use your action to make a melee spell attack with the blade. On a hit, the target takes 2d8 fire damage and 2d8 radiant damage. An aberration, fey, fiend, or undead creature damaged by the blade must succeed on a Wisdom saving throw or be frightened until the start of your next turn.The blade sheds bright light in a 20-foot radius and dim light for an additional 20 feet."," At Higher Levels. When you cast this spell using a spell slot of 4th level or higher, either the fire damage or the radiant damage (your choice) increases by 1d8 for each slot level above 3rd."
"Blazing Chariot","DMS","5th","Action","1 hour","Conjuration (Angelic)","30 feet","V, S, M (a small golden wheel worth 250 gp)","Cleric, Paladin, Wizard","","Calling upon the might of the angels, you conjure a flaming chariot made of gold and mithral in an unoccupied 10-foot‑square space you can see within range. Two horses made of fire and light pull the chariot. You and up to three other Medium or smaller creatures you designate can board the chariot (at the cost of 5 feet of movement) and are unharmed by the flames. Any other creature that touches the chariot or hits it (or a creature riding in it) with a melee attack while within 5 feet of the chariot takes 3d6 fire damage and 3d6 radiant damage. The chariot has AC 18 and 50 hit points, is immune to fire, poison, psychic, and radiant damage, and has resistance to all other nonmagical damage. The horses are not separate creatures but are part of the chariot. The chariot vanishes if it is reduced to 0 hit points, and any creature riding it falls out. The chariot has a speed of 50 feet and a flying speed of 40 feet.On your turn, you can guide the chariot in place of your own movement. You can use a bonus action to direct it to take the Dash, Disengage, or Dodge action. As an action, you can use the chariot to overrun creatures in its path. On this turn, the chariot can enter a hostile creature's space. The creature takes damage as if it had touched the chariot, is shunted to the nearest unoccupied space that it can occupy, and must make a successful Strength saving throw or fall prone in that space.",""
